"id","tid_not_to_be_used","airline","tag","tweet"
27,506246084914462720,"United","dN$l0c19~Lwl","@united I know the policy, I lived it this week and am complaining about it: UNACCEPTABLE. Changing a flight with 24 hour wait - worse!"
144,506422339127746560,"United","dN$l0c19~Lwl","Homeward bound and can't wait!!! (at @United Airlines in Chicago, IL) https://t.co/TaD1uA9TDU"
164,506443409658486784,"SouthWest","dN$l0c19~Lwl","Will never make the mistake of flying @SouthwestAir again. Charging ppl to fly standby? Really? #anythingforabuck #somuchforcustomerservice"
165,506444485912698880,"American","dN$l0c19~Lwl","I will NEVER EVER fly american eagle or @americanair again.  NOT ever!  Chaos, unethical customer service in the miami airport."
183,506455953718648832,"Delta","dN$l0c19~Lwl","Also, @Delta , fuck you and your \"restricted ticket\" prices. $200 to switch a flight!? You're ridiculous. Other options? @DeltaAssist"
196,506459638812782592,"VirginAmerica","dN$l0c19~Lwl","@IIJERiiCHOII @VirginAmerica Is it bad that im kind of laughing right now"
202,506459960428204032,"VirginAmerica","dN$l0c19~Lwl","@IIJERiiCHOII @VirginAmerica dat suck :/"
230,506465687691198464,"AlaskaAir","dN$l0c19~Lwl","@IIJERiiCHOII @VirginAmerica fly @AlaskaAir, I have never had a problem with them. In fact, a vast majority of my flights have landed early."
302,506500759094308864,"United","dN$l0c19~Lwl","@united Can you back me up on the next ORD-MLI flight please? Waiting on UA6110 for 1 hour. Maintenance is taking awhile for a wiper blade."
333,506519396651913216,"United","dN$l0c19~Lwl","@united you 've to do better with lost baggage. Lost 5 pcs of baggage from GVA, I'm a 1k member &amp; no one can give me a status of whats hapng"
370,506542802524975104,"SouthWest","dN$l0c19~Lwl","I'm tired of these delayed flights with @SouthwestAir. Every damn time there is a delay"
416,506562776924307456,"VirginAmerica","dN$l0c19~Lwl","So angry @VirginAmerica is pulling out of Philly. Super disappointing decision."
425,506569026131480576,"SouthWest","dN$l0c19~Lwl","@southwestair Shamu flying out of ABQ. I'm gonna miss this bird.. I mean whale.. Either way I'm going__ http://t.co/FLh1mqYPzm"
447,506579249332244480,"United","dN$l0c19~Lwl","@lucyhale @united this happened to me when I was 5 I feel your fear"
494,506600155731075072,"AlaskaAir","dN$l0c19~Lwl","@AlaskaAir still waiting for you guys to find my hats #1monthlater"
561,506640141721808896,"JetBlue","dN$l0c19~Lwl","Over 3 hours delayed but we're finally boarding!! Thanks @JetBlue #CLTtoJFK || On that note, who's got the hook up with a private jet?!"
578,506656686061666304,"United","dN$l0c19~Lwl","Leave it to @united ...stranded in denver."
615,506713469123842048,"American","dN$l0c19~Lwl","Sigh. Bought tickets with @AmericanAir, they've only gone and charged twice. Now for the 'he said, she said' nonsense with support folk."
619,506734843473182720,"United","dN$l0c19~Lwl","@united I gave you all that in DM. My bags are STILL not here, STILL!! I'm never flying united again"
654,506782909626204160,"American","dN$l0c19~Lwl","@AmericanAir @USAirways it's clear this AA ExecPlat will never get upgraded on USAir flights. No AA on this route, so @SouthwestAir for me!"
792,506864319116898304,"SouthWest","dN$l0c19~Lwl","Taking off on @SouthwestAir for @flyLAXairport for the @MPIOC @MPI event at @NixonFoundation Library. Can__t wait!"
889,506915291239284736,"United","dN$l0c19~Lwl","Breaking news, everyone. Another flight on @united today, this time to NYC. Supposed to leave at 12:50, and still on the taxiway now. Woo!"
939,506941067661676544,"Delta","dN$l0c19~Lwl","@DeltaAssist 3 hrs on runway &amp; back to gate in #ATL. Typical. Hartsfield delayed or CX 50% of time! @Delta use #CVG! #Diamond #MillionMiler"
1050,506984587034374144,"American","dN$l0c19~Lwl","@AmericanAir iTunes update not working says ur app no longer available"
1051,506986195713527808,"American","dN$l0c19~Lwl","@AmericanAir I think we should co-produce a show on the crew of #aa293. Rude &amp; Unhappy would work as a title #worstservice #dontflyamerican"
1069,507001770988814336,"American","dN$l0c19~Lwl","@AmericanAir we do, just wanted to alert you to somewhat poor luggage handling, otherwise decent flight"
1168,507166634432532480,"American","dN$l0c19~Lwl","Trying fly to texas to see family before i leave for the navy in 20 days &amp; tickets are so expensive @DeltaAssist @AmericanAir @SouthwestAir"
1186,507177214170128384,"SouthWest","dN$l0c19~Lwl","Peaceful first flight but delay in #Houston for the second flight to #sandiego @SouthwestAir #travel #latetowork http://t.co/hHomYEJqKV"
1259,507229653916868608,"VirginAmerica","dN$l0c19~Lwl","And now I have the newer @VirginAmerica safety video song stuck in my head. #FlyAwayWithMe"
1318,507279252925194240,"JetBlue","dN$l0c19~Lwl","I still can't get past the fact that the @JetBlue flight I want to book to ORD next month has only sold 6 seats. I'm afraid it will cancel."
1393,507334251386535936,"United","dN$l0c19~Lwl","Day 5 of my first holiday alone and still no bag. @united have keep guessing where my bag is and can't confirm anything. Terrible. #united"
1452,507380760337059840,"United","dN$l0c19~Lwl","On @united flight tonight I asked flight attendant for the can of soda with my drink and not just the cup. She hands me can 1/3 full. #fail"
1457,507382818528178176,"SouthWest","dN$l0c19~Lwl","@BrookJay @SouthwestAir they lost my bags twice this year including today. Hope you get yours soon."
1459,507386302245785600,"United","dN$l0c19~Lwl","@Hill713 @AP @united My issue is more with the continuing fuckery of the airline industry to maximize profit with no regard to passengers."
1478,507475229904748544,"United","dN$l0c19~Lwl","@united ticketed flights GRR-NBO. Bags delayed &amp; items stolen. Missing ticketed legs. Rude staff in GRR &amp; phone. Regret platinum challenge"
1489,507504278047825920,"United","dN$l0c19~Lwl","@united flew out on 2 sep and still no bags. Glad I am premier member with priority."
1526,507542920288030720,"JetBlue","dN$l0c19~Lwl","@JetBlue we really had a good flight yesterday!  We didn't starve with the endless snacks &amp; DDcoffee...no are we there yets from my son..."
1611,507605217899061248,"SouthWest","dN$l0c19~Lwl","@SouthwestAir charging $60 to get an earlier flight with available seating? Looks like I need to reevaluate my loyalty. #disappointed"
1615,507608493751566336,"SouthWest","dN$l0c19~Lwl","just booked cheaper/more convenient flight on @SouthwestAir out of @BHMAirport for #BOS trip later this month. Suck it #ATL. #bhamtech"
1658,507635903565946880,"SouthWest","dN$l0c19~Lwl","My first negative experience with @southwestair. 5 hours late yesterday from BWI to ATL. 2 hr delay back today. No explanation given yet"
1693,507654456817631232,"United","dN$l0c19~Lwl","hey @united, once I paid you for internet, I can no longer access the portal that allows me to watch movies/check flight status #bugreport"
1728,507674340968890368,"JetBlue","dN$l0c19~Lwl","@JetBlue sat at Richmond for a hour waiting for some help finding our bags. Paged jet blue twice only to find 5 employees in the break room."
1798,507723109953454080,"SouthWest","dN$l0c19~Lwl","@usairways flight delayed for an hour every1 misses connectors &amp; your cust serv treats ppl this way? You just lost a customer. @southwestair"
1824,507762391468081152,"United","dN$l0c19~Lwl","@MissGinaDarling @united oh oh that's bad luck.......good luck"
1877,507885862214832128,"American","dN$l0c19~Lwl","goodbye #omnimontelucia, @wanderwwonder in #scottsdaleinvasion for morning flight  @AmericanAir home to big D. Sigh. http://t.co/K1xlrmA9Qv"
1881,507888723615563776,"JetBlue","dN$l0c19~Lwl","@JetBlue Female stewardess out of St. Lucia flight 882 was awful, very rude &amp; provided in-correct info which lead to extra ~1hr by customs"
1893,507900525820383232,"United","dN$l0c19~Lwl","After my last @united flight,only getting worse.Tight Squeezes, Angry Passengers:Behind the Frustration in the Air http://t.co/5HEKdiksXJ"
1975,507949902047879168,"United","dN$l0c19~Lwl","@Uber rocks, @united sucks really bad #airportlife"
2134,508028096927502336,"VirginAmerica","dN$l0c19~Lwl","@VirginAmerica not sure what you can do now. Perhaps ask agents to use good judgement? Hope this is not an issue on return from SFO-AUS."
2137,508030550180126720,"United","dN$l0c19~Lwl","Red Raiders boarding a late flight for a LATE kickoff in El Paso tomorrow night. @united #FridayFocus http://t.co/xLVh1RhXCk"
2206,508054876459655168,"SouthWest","dN$l0c19~Lwl","First time flying with @SouthwestAir and both my flights were delayed. Boooo _"
2236,508064438193102848,"AlaskaAir","dN$l0c19~Lwl",".@AlaskaAir i have a show tonight at @whiskeybarpdx and this flight delay has me stuck in calgary now! :("
2248,508068595369537536,"Delta","dN$l0c19~Lwl","@DeltaAssist stuck in Detroit, your pilots are too close on flight hrs for us to even taxi out. A lot of unhappy people,"
2404,508280729198149632,"Delta","dN$l0c19~Lwl","Hi @DeltaAssist stuck in mid seat on my flight tonight, any chance I can get an exit row or available window/aisle if someone is bumped?"
2435,508311051180703744,"United","dN$l0c19~Lwl","@buffalobills @united almost time to get this shit done!"
2484,508351115952660480,"United","dN$l0c19~Lwl","@Delta can't get me home today so they stuck me on an @united flight. I feel like I am being punished."
2487,508353663451295744,"SouthWest","dN$l0c19~Lwl","Next time I fly, I'm taking @AmericanAir.  This is ridiculous service by @SouthwestAir."
2589,508419415097233408,"JetBlue","dN$l0c19~Lwl","The @HSBC_US_Help phone tree is HORRIBLE!!! Why have a security code if it NEVER works when buying on @Ticketmaster or @JetBlue! #annoyed"
2688,508599579651354624,"SouthWest","dN$l0c19~Lwl","Race against the clock back to Madison to watch some @Patriots football.  Don't screw it up @SouthwestAir #LetsGoPats #InBillWeTrust"
